Number,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients
205,Ramen Noodles With Spring Onions and Garlic Crisp,"['1 bunch spring onions or scallions, very thinly sliced, divided', '1 (3"") piece ginger, peeled, thinly sliced', '4 garlic cloves, thinly sliced', 'Â½ cup vegetable or sunflower oil', 'Â½ serrano or other green chile, thinly sliced (with seeds)', 'Â¼ cup finely chopped tender herbs (such as cilantro, mint, and/or basil)', '2 Tbsp. low-sodium soy sauce', '1 Tbsp. unseasoned rice vinegar', '1 Tbsp. toasted sesame seeds', '1 tsp. freshly ground black pepper', 'Â½ tsp. kosher salt', 'Â½ tsp. sugar', '2 (5-oz.) packages fresh wavy ramen noodles', '1 Tbsp. unsalted butter, cut into pieces']","Place half of spring onions in a large heatproof bowl and set a fine-mesh sieve on top; set aside. Combine remaining spring onions with ginger, garlic, and oil in a small saucepan. Set over medium-high and cook, stirring occasionally, until garlic is golden and scallions are beginning to crisp and turn golden brown, 8â€“10 minutes.
Pour mixture through reserved sieve onto spring onions. Turn out garlic crisp in sieve onto paper towels to drain. Stir spring onions in bowl until just softened, about 1 minute. Stir in chile, herbs, soy sauce, vinegar, sesame seeds, pepper, salt, and sugar. Let dressing sit 10 minutes.
Meanwhile, cook noodles according to package directions. Drain and rinse under warm water to get rid of any excess starch.
Transfer noodles to bowl with dressing and add butter and half of garlic crisp; toss to coat noodles. Divide among bowls; top with remaining garlic crisp.",ramen-noodles-with-spring-onions-and-garlic-crisp,"['1 bunch spring onions or scallions, very thinly sliced, divided', '1 (3"") piece ginger, peeled, thinly sliced', '4 garlic cloves, thinly sliced', 'Â½ cup vegetable or sunflower oil', 'Â½ serrano or other green chile, thinly sliced (with seeds)', 'Â¼ cup finely chopped tender herbs (such as cilantro, mint, and/or basil)', '2 Tbsp. low-sodium soy sauce', '1 Tbsp. unseasoned rice vinegar', '1 Tbsp. toasted sesame seeds', '1 tsp. freshly ground black pepper', 'Â½ tsp. kosher salt', 'Â½ tsp. sugar', '2 (5-oz.) packages fresh wavy ramen noodles', '1 Tbsp. unsalted butter', 'cut into pieces']"
206,Shrimp Ramp-y,"['3 Tbsp. extra-virgin olive oil, plus more for drizzling', '1 bunch ramps (about 6 oz.), bulbs and greens separated, bulbs halved lengthwise, greens torn into (2""â€“3"") pieces', '3 garlic cloves, thinly sliced', 'Â½ tsp. mild red pepper flakes (such as Maras, Urfa, or Aleppo-style), plus more for serving', 'Â½ cup dry white wine', '1Â¼ lb. large shrimp, peeled, deveined, preferably tails left on', '4 Tbsp. unsalted butter', 'Kosher salt', 'Â½ lemon']","Combine 3 Tbsp. oil and ramp bulbs in a large skillet. Set over medium heat and cook, tossing occasionally, until bulbs are softened but have not taken on any color, 6â€“8 minutes. Add garlic and Â½ tsp. mild red pepper flakes and cook, tossing occasionally, until garlic is softened, about 3 minutes. Add wine and increase heat to medium-high. Let cook, stirring occasionally, until wine is reduced by half, about 2 minutes. Add ramp greens, shrimp, and butter to pan. Season with salt and cook, tossing occasionally, until ramp greens are wilted, shrimp turn pink, and butter is melted, about 3 minutes. Remove skillet from heat. Finely grate zest from lemon half over shrimp, then squeeze in juice.
Transfer shrimp to a platter. Sprinkle with more mild red pepper flakes and drizzle with plenty of oil.",shrimp-ramp-y,"['3 Tbsp. extra-virgin olive oil, plus more for drizzling', '1 bunch ramps (about 6 oz.), bulbs and greens separated, bulbs halved lengthwise, greens torn into (2""â€“3"") pieces', '3 garlic cloves, thinly sliced', 'Â½ tsp. mild red pepper flakes (such as Maras, Urfa, or Aleppo-style), plus more for serving', 'Â½ cup dry white wine', '1Â¼ lb. large shrimp, peeled, deveined, preferably tails left on', '4 Tbsp. unsalted butter', 'Kosher salt', 'Â½ lemon']"
207,Green-Garlic-Rubbed Buttery Roast Chicken,"['1 (3Â½â€“4-lb.) whole chicken, patted dry', 'Kosher salt, freshly ground pepper', '8 green garlic stalks, dark green tops removed, divided', 'Zest of 1 lemon', '6 Tbsp. unsalted butter, room temperature', 'Â¼ cup extra-virgin olive oil']","Season chicken all over inside and out with salt and pepper (make sure to get in and around every nook and cranny; about 4 tsp. Diamond Crystal or 2Â½ tsp. Morton kosher salt). Place on a wire rack set inside a rimmed baking sheet and let sit at room temperature while you make the garlic butter, or chill, uncovered, up to 1 day. If chilling, let sit at room temperature 1 hour before roasting.
Place a rack in middle of oven; preheat to 325Â°F. Coarsely chop 4 green garlic stalks; transfer to a food processor. Pulse until very finely chopped. Add zest and butter and pulse until almost smooth. Cut remaining 4 green garlic stalks in half lengthwise; set aside.
Pat chicken dry again with paper towels (this will help the butter adhere and get the skin nicely browned). Smear garlic butter all over chicken. Gently lift the skin on the breast away from the flesh and rub some butter inside.
Toss reserved green garlic and oil in a large cast-iron skillet or 13x9"" baking dish to coat; season with salt. Tie chicken legs together with kitchen twine and tuck wings underneath back. Place chicken, breast side up, on top of garlic in skillet.
Roast chicken, rotating pan halfway through for even browning, until skin is golden and an instant-read thermometer inserted into the thickest part of breast registers 155Â°F (donâ€™t worry; temperature will climb to 165Â°F as the chicken rests), 80â€“90 minutes. Let chicken rest at least 20 minutes and up to 45 minutes.
Transfer chicken to a cutting board and carve as desired. Serve with roasted green garlic alongside.",green-garlic-rubbed-buttery-roast-chicken,"['1 (3Â½â€“4-lb.) whole chicken, patted dry', 'Kosher salt, freshly ground pepper', '8 green garlic stalks, dark green tops removed, divided', 'Zest of 1 lemon', '6 Tbsp. unsalted butter, room temperature', 'Â¼ cup extra-virgin olive oil']"
208,Scallion Pancakes With Chili-Ginger Dipping Sauce,"['1 (Â½"") piece ginger, peeled, thinly sliced', '2 Tbsp. low-sodium soy sauce', '2 Tbsp. unseasoned rice vinegar', '1 tsp. chili oil', '1 tsp. sugar', '1 cup all-purpose flour', 'Â¼ cup cornstarch', '1 tsp. kosher salt', '1 tsp. sugar', '1 cup chilled club soda', '2 tsp. low-sodium soy sauce', '1 tsp. toasted sesame oil', '10 scallions, thinly sliced on a diagonal (about 2 cups)', '4 Tbsp. vegetable oil']","Whisk ginger, soy sauce, vinegar, chili oil, and sugar in a small bowl until sugar is dissolved. Set sauce aside.
Whisk flour, cornstarch, salt, and sugar in a large bowl. Whisk club soda, soy sauce, and sesame oil in a medium bowl to combine, then pour into dry ingredients and whisk until smooth (be careful not to overmix; itâ€™s okay if there are a few small lumps). Fold in scallions.
Heat 1 Tbsp. oil in a medium nonstick skillet over medium-high. Pour Â¼ cup batter into skillet. Cook, moving pan around on the burner for even cooking, until bottom of pancake is set and golden, about 2 minutes. Flip and cook, pressing down on pancake to create direct contact with pan, until other side is golden, about 1 minute. Continue cooking, turning often to keep scallions from burning, until golden brown and crisp and cooked through, about 5 minutes longer. Transfer pancake to a wire rack. Repeat process with remaining batter and remaining 3 Tbsp. oil 3 more times to make a total of 4 pancakes.
Cut each pancake into wedges if desired and serve with reserved sauce on the side for dipping.",scallion-pancakes-with-chili-ginger-dipping-sauce,"['1 (Â½"") piece ginger, peeled, thinly sliced', '2 Tbsp. low-sodium soy sauce', '2 Tbsp. unseasoned rice vinegar', '1 tsp. chili oil', '1 tsp. sugar', '1 cup all-purpose flour', 'Â¼ cup cornstarch', '1 tsp. kosher salt', '1 tsp. sugar', '1 cup chilled club soda', '2 tsp. low-sodium soy sauce', '1 tsp. toasted sesame oil', '10 scallions, thinly sliced on a diagonal (about 2 cups)', '4 Tbsp. vegetable oil']"
209,Camouflage Chocolate Fudge Brownies,"['Nonstick cooking oil spray or room-temperature unsalted butter (for pan)', '8 oz. cream cheese (not low-fat), cut into (1"") pieces', '3 large eggs, chilled', '1â…“ cups (266 g) sugar, divided', '1 tsp. vanilla extract, divided', 'Â¾ tsp. kosher salt, divided', '1Â½ tsp. plus Â¾ cup plus 2 Tbsp. cocoa powder, preferably Dutch-process', '10 Tbsp. unsalted butter, cut into pieces', '1 tsp. instant espresso powder (optional)', 'Â½ cup (63 g) all-purpose flour']","Place a rack in middle of oven; preheat to 325Â°F. Lightly coat a 9x9"" pan, preferably metal, with nonstick spray. Line with parchment paper, leaving overhang on all sides. Lightly coat parchment with nonstick spray. Place cream cheese in a medium heatproof bowl set over a medium saucepan of barely simmering water (do not let bowl touch water). Heat cream cheese, stirring occasionally, until very soft, about 5 minutes. Remove bowl from heat (leave water simmering). Using a heatproof rubber spatula or wooden spoon, smash and mix cream cheese until smooth. Add 1 egg, â…“ cup (66 g) sugar, Â½ tsp. vanilla, and Â¼ tsp. salt and whisk until very smooth. Transfer about half of cream cheese mixture to a small bowl and whisk in 1Â½ tsp. cocoa powder.
Place butter in another medium heatproof bowl. Add espresso powder (if using) and remaining 1 cup (200 g) sugar, Â¾ cup plus 2 Tbsp. cocoa powder, and Â½ tsp. salt. Place bowl over saucepan of still simmering water and cook, stirring occasionally once the butter starts to melt, until mixture is homogeneous and too hot to leave your finger in, 7â€“9 minutes. Let cool 5 minutes.
Add remaining 2 eggs and remaining Â½ tsp. vanilla to butter mixture one at a time, whisking vigorously after each addition until smooth and glossy. Add flour and mix with spatula or spoon until no longer visible, then vigorously mix another 30 strokes. Scoop out Â½ cup brownie batter and set aside. Scrape remaining batter into prepared pan and spread into an even layer.
Working quickly, alternate dollops of cocoaâ€“cream cheese mixture and cream cheese mixture over batter. Dollop reserved batter on top (it will be quite thick). Donâ€™t worry if your design looks random and spotted.
Bake brownies until center is set and no longer looks wet, 22â€“25 minutes. Transfer pan to a wire rack and let cool. Using parchment paper overhang, lift brownies out of pan and transfer to a cutting board. Remove parchment paper and cut into sixteen 2Â¼"" squares, wiping knife clean between slices.",camouflage-chocolate-fudge-brownies,"['Nonstick cooking oil spray or room-temperature unsalted butter (for pan)', '8 oz. cream cheese (not low-fat), cut into (1"") pieces', '3 large eggs, chilled', '1â…“ cups (266 g) sugar, divided', '1 tsp. vanilla extract, divided', 'Â¾ tsp. kosher salt, divided', '1Â½ tsp. plus Â¾ cup plus 2 Tbsp. cocoa powder, preferably Dutch-process', '10 Tbsp. unsalted butter, cut into pieces', '1 tsp. instant espresso powder (optional)', 'Â½ cup (63 g) all-purpose flour']"
210,Sour Cream and Onion Biscuits,"['2Â½ tsp. Diamond Crystal or 1Â½ tsp. Morton kosher salt', '1 tsp. freshly ground black pepper', '1Â¾ tsp. baking powder', 'Â½ tsp. baking soda', '1Â¼ tsp. sugar', '2Â½ cups (313 g) all-purpose flour, plus more for surface', '10 Tbsp. chilled unsalted butter, cut into (Â½"") pieces, plus 2 Tbsp. melted', '8 scallions, thinly sliced crosswise (not on a diagonal)', '1Â¼ cups sour cream, plus more for serving', 'Flaky sea salt']","Place a rack in middle of oven; preheat to 425Â°F. Whisk salt, pepper, baking powder, baking soda, sugar, and 2Â½ cups flour in a large bowl to combine. Add chilled butter and toss to coat. Using your hands, work butter into dry ingredients until there are lots of flat pieces and pea-size bits. Add scallions and toss to evenly distribute.
Create a well in the center of mixture and add 1Â¼ cups sour cream into the center. Using a fork and working in circles, mix until large shaggy clumps form. Turn dough out onto a lightly floured surface and knead once or twice until it comes together (flour your hands if needed). If there are any loose bits, add them to center of dough and knead once more to incorporate. Pat dough into an 8x4"" rectangle about 1"" thick.
Working from a short side, fold dough in thirds as you would a letter. It doesnâ€™t need to overlap perfectly. Pat dough into another 8x4"" rectangle, then fold dough in thirds like a letter one more time. Pat dough back into an 8x4"" rectangle and cut in half lengthwise. Cut each half crosswise into 4 squares for a total of 8 biscuits.
Transfer biscuits to a parchment-lined baking sheet. Brush tops gently with melted butter; sprinkle with sea salt. Bake biscuits until golden brown, 18â€“22 minutes. Serve warm with sour cream (or more butter!) for slathering.",sour-cream-and-onion-biscuits,"['2Â½ tsp. Diamond Crystal or 1Â½ tsp. Morton kosher salt', '1 tsp. freshly ground black pepper', '1Â¾ tsp. baking powder', 'Â½ tsp. baking soda', '1Â¼ tsp. sugar', '2Â½ cups (313 g) all-purpose flour, plus more for surface', '10 Tbsp. chilled unsalted butter, cut into (Â½"") pieces, plus 2 Tbsp. melted', '8 scallions, thinly sliced crosswise (not on a diagonal)', '1Â¼ cups sour cream, plus more for serving', 'Flaky sea salt']"
211,Salty Buckwheat Chocolate Chunk Cookies,"['Â½ cup (1 stick) unsalted butter, cut into 8 equal pieces', '1 cup (125 g) all-purpose flour', 'Â½ cup (63 g) buckwheat flour', 'Â½ tsp. baking powder', 'Â½ tsp. baking soda', '1Â¼ tsp. Diamond Crystal or Â¾ tsp. Morton kosher salt; plus more (optional)', 'â…” cup (packed; 133 g) light brown sugar', 'Â½ cup (100 g) granulated sugar', '1 large egg', '2 large egg yolks', '1 tsp. vanilla extract', '6 oz. bittersweet chocolate (65% - 75% cacao) bars or wafers (disks, pistoles, fÃ¨ves), coarsely chopped']","Heat butter in a small saucepan over the lowest heat possible until melted (you donâ€™t want it to sputter or brown), about 5 minutes.
Meanwhile, whisk both flours, baking powder, baking soda, and 1Â¼ tsp. Diamond Crystal or Â¾ tsp. Morton kosher salt in a medium bowl.
Scrape butter into a large bowl and add brown sugar and granulated sugar. Whisk vigorously until butter is absorbed into sugar, about 30 seconds. Add egg, then egg yolks, one at a time, whisking to combine after each addition; whisk in vanilla. Mixture should look much lighter in color and be almost creamy.
Add dry ingredients and use a rubber spatula or wooden spoon to stir until just incorporated and almost no dry streaks remain. Set aside a handful of chocolate, then add remaining chocolate to batter. Gently mix just to evenly distribute. Cover bowl with a kitchen towel (a silicone lid or plastic wrap also works) and chill 2 hours.
Place racks in upper and lower thirds of oven; preheat to 375Â°F. Line 2 baking sheets with parchment. Using a tablespoon, scoop out 2-Tbsp. portions of dough (or, if you have one, this is a leveled-off #30 cookie scoop or a heaping #40) and place 5 on each baking sheet, spacing evenly. Roll into balls and gently press 2â€“3 pieces of reserved chocolate onto the top of each one. Itâ€™s okay to jam the chocolate on thereâ€”some pieces can even be vertical. Cover and chill any remaining dough.
Bake cookies, rotating baking sheets top to bottom and front to back halfway through, until edges are golden brown and centers are puffed, 8â€“10 minutes.
Working one at a time, pull baking sheets out of the oven and tap lightly on the stove to deflate cookies. Sprinkle with Diamond Crystal kosher salt (if youâ€™re using Morton, skip it: the crystals are too large). Let cookies cool on baking sheets 5 minutes, then transfer to wire racks and let cool completely.
Let baking sheets cool, then turn parchment paper over. Repeat process with remaining dough, dividing evenly between baking sheets, to make 6â€“8 more cookies.
Do Ahead: Cookies can be baked 3 days ahead. Let cool; store airtight at room temperature.",salty-buckwheat-chocolate-chunk-cookies,"['Â½ cup (1 stick) unsalted butter, cut into 8 equal pieces', '1 cup (125 g) all-purpose flour', 'Â½ cup (63 g) buckwheat flour', 'Â½ tsp. baking powder', 'Â½ tsp. baking soda', '1Â¼ tsp. Diamond Crystal or Â¾ tsp. Morton kosher salt; plus more (optional)', 'â…” cup (packed; 133 g) light brown sugar', 'Â½ cup (100 g) granulated sugar', '1 large egg', '2 large egg yolks', '1 tsp. vanilla extract', '6 oz. bittersweet chocolate (65% - 75% cacao) bars or wafers (disks', 'pistoles', 'fÃ¨ves)', 'coarsely chopped']"
212,Hanky Panky Cocktail,"['1Â½ oz. (45ml) gin', '1Â½ oz. (45ml) sweet vermouth', '2 dashes Fernet-Branca', 'Strip of orange peel, to serve']","Stir gin, sweet vermouth, and Fernet-Branca with ice until chilled. Strain into a chilled cocktail glass. Twist a swathe of orange peel over the surface of the drink and add to glass as garnish.",hanky-panky-gin-cocktail,"['1Â½ oz. (45ml) gin', '1Â½ oz. (45ml) sweet vermouth', '2 dashes Fernet-Branca', 'Strip of orange peel', 'to serve']"
213,Avocado and Lemon Water (Agua de Aguacate y LimÃ³n Amarillo),"['1 avocado, halved', '4 cups (950 ml/32 fl oz) water', 'Â½ cup (120 ml/4 fl oz) lemon juice or lime juice', 'Â½ cup (100 g) sugar, plus more to taste']","Scoop the avocado into a blender. Add the rest of the ingredients and blend until smooth. Add more sugar to taste, if desired. Serve over ice.",avocado-and-lemon-water-olvera,"['1 avocado, halved', '4 cups (950 ml/32 fl oz) water', 'Â½ cup (120 ml/4 fl oz) lemon juice or lime juice', 'Â½ cup (100 g) sugar', 'plus more to taste']"
214,Cinnamon-Date Sticky Buns,"['Â¾ cup buttermilk or plain whole-milk yogurt', '7 Tbsp. vegetable oil, divided', '1 large egg', 'Â¼ cup (packed; 50 g) dark brown sugar', '1 Â¼-oz. envelope active dry yeast (about 2Â¼ tsp.)', '3 cups (375 g) all-purpose flour', 'Â¼ tsp. baking soda', '1 tsp. kosher salt', '1 cup (packed; 180 g) Medjool dates, halved, pitted', '2 tsp. ground cinnamon', 'Â½ tsp. kosher salt', '3 Tbsp. vegetable oil, divided', 'Â¼ cup (packed; 50 g) dark brown sugar', 'Â¾ cup (83 g) powdered sugar', '3 Tbsp. buttermilk or plain whole-milk yogurt', '1 tsp. vanilla paste or extract']","Combine buttermilk and 6 Tbsp. oil in a small microwave-safe bowl (it wonâ€™t get smooth and thatâ€™s okay) and heat in the microwave in three 10-second bursts until just about body temperature (it shouldnâ€™t feel hot or cold to the touch); an instant-read thermometer will register about 98Â°F. (Alternatively, you can heat in a small saucepan over medium-low, stirring constantly, about 1 minute.)
Whisk egg, brown sugar, and yeast in a liquid measuring cup to combine, then whisk into buttermilk mixture.
Pulse flour, baking soda, and salt in a food processor to combine. With the motor running, stream in buttermilk mixture. Process until about 80% of the dough comes together into a ball (mixture will look very wet at first, then begin to pull away from the sides of processor), about 2 minutes.
Using a bowl scraper or rubber spatula, scrape dough onto an unfloured surface. (It should still be pretty wet and sticky.) Knead, pushing it away from you, then pulling it back toward you, until a smooth ball forms, about 3 minutes. The dough will grow silkier, tighter, and easier to work with as you knead.
Roll out dough into a rough 8"" square. Fold dough over onto itself to make an 8x4"" rectangle, then flatten it slightly and fold over once more to make a 4"" square. Roll dough back out to an 8"" square and repeat folding process (you should be back at a 4"" square). Pour remaining 1 Tbsp. oil into a medium bowl and add dough (still folded); turn to coat. Cover bowl tightly and chill dough until doubled in volume, at least 8 hours and up to 1 day.
Place dates in a small bowl and pour in 1Â½ cups hot water to cover. Let soak until softened, about 10 minutes.
Drain dates and transfer to a food processor; discard soaking liquid. Add cinnamon, salt, and 2 Tbsp. oil. PurÃ©e, scraping down sides as needed, until smooth, about 4 minutes. (You should have about Â½ cup purÃ©e.)
Grease a 10"" cast-iron skillet with remaining 1 Tbsp. oil. Transfer dough to a clean, unfloured surface and roll out to an 8"" square. Fold in half into an 8x4"" rectangle, then fold rectangle over itself to form a 4"" square (same folding process as you did before). If dough feels tough and uncooperative, let it sit about 5 minutes to relax and try again. Roll out dough to a 12"" square about Â¼"" thick. Dollop date purÃ©e all over. Using a small offset spatula, spread evenly over dough, leaving a Â½"" border without purÃ©e along edge farthest from you. Sprinkle brown sugar over purÃ©e.
Starting at edge closest to you, roll up dough into a tight log. Using a sharp serrated knife and long sawing motions, trim about Â½"" of dough from both ends and discard. Slice log crosswise into 3 sections, wiping knife clean between slices. Slice each section crosswise into 3 buns (you should have 9 buns total that are each about 1"" thick). Transfer buns to prepared pan as you go.
Cover pan tightly with foil (or a domed lid if you have one) and place in a warm, dry spot. Let buns rise until theyâ€™re doubled in volume and spring back when poked, leaving only a small indentation, 1â€“1Â½ hours, depending on how warm and humid your kitchen is.
Place a rack in middle of oven; preheat to 350Â°F. Bake buns, still covered, until puffed, pale, and mostly set, about 20 minutes. Remove foil and continue to bake until golden brown, about 15 minutes if you prefer a soft and squishy bun and up to 25 minutes for a more toasted bun. Let cool slightly.
Meanwhile, whisk powdered sugar, buttermilk, and vanilla in a medium bowl to combine.
Brush glaze over warm buns and serve in skillet.
Do Ahead: PurÃ©e can be made 3 days ahead. Place in an airtight container; cover and chill. Bring to room temperature before using.",cinnamon-date-sticky-buns,"['Â¾ cup buttermilk or plain whole-milk yogurt', '7 Tbsp. vegetable oil, divided', '1 large egg', 'Â¼ cup (packed; 50 g) dark brown sugar', '1 Â¼-oz. envelope active dry yeast (about 2Â¼ tsp.)', '3 cups (375 g) all-purpose flour', 'Â¼ tsp. baking soda', '1 tsp. kosher salt', '1 cup (packed; 180 g) Medjool dates, halved, pitted', '2 tsp. ground cinnamon', 'Â½ tsp. kosher salt', '3 Tbsp. vegetable oil, divided', 'Â¼ cup (packed; 50 g) dark brown sugar', 'Â¾ cup (83 g) powdered sugar', '3 Tbsp. buttermilk or plain whole-milk yogurt', '1 tsp. vanilla paste or extract']"
215,Grilled Coconut Shrimp With Shishito Peppers,"['6 garlic cloves, finely grated', '1 Tbsp. finely grated lime zest', 'Â¼ cup low-sodium or tamari soy sauce', 'Â¼ cup grapeseed or vegetable oil, plus more for grill', '1 lb. large shrimp, peeled, deveined, preferably with tails left on', 'Â½ cup toasted unsweetened shredded coconut, plus more for serving', '8 oz. shishito peppers', 'Â½ cup basil leaves', 'Â¼ cup fresh lime juice', 'Flaky sea salt']","Stir together garlic, lime zest, soy sauce, and Â¼ cup oil in a medium bowl. Add shrimp and toss to coat. Add Â½ cup coconut and toss again to coat. Let sit while grill heats, at least 5 minutes and up to 30 minutes.
Prepare a grill for high heat, lightly oil grate.
Carefully arrange shrimp in an even layer on grate. Grill, carefully turning halfway through, until opaque and lightly charred, about 2 minutes. Some of the coconut will fall off in the process, and thatâ€™s okay. Transfer to a serving platter.
Grill peppers, turning occasionally and being careful not to let them fall through grate, until lightly charred all over, about 6 minutes. Transfer to platter with shrimp.
Top shrimp and peppers with basil, drizzle with lime juice, and sprinkle with sea salt and more coconut.",grilled-coconut-shrimp-shishito-peppers,"['6 garlic cloves, finely grated', '1 Tbsp. finely grated lime zest', 'Â¼ cup low-sodium or tamari soy sauce', 'Â¼ cup grapeseed or vegetable oil, plus more for grill', '1 lb. large shrimp, peeled, deveined, preferably with tails left on', 'Â½ cup toasted unsweetened shredded coconut, plus more for serving', '8 oz. shishito peppers', 'Â½ cup basil leaves', 'Â¼ cup fresh lime juice', 'Flaky sea salt']"
216,"Mochi Cake, Any Way You Want It","['6 Tbsp. unsalted butter or virgin coconut oil, melted, plus more for pan', '1Â½ cups (300 g) sugar, plus more for pan', '1 (13.5-oz.) can unsweetened coconut milk or 1â…” cups half-and-half', '2 large eggs', '2 tsp. vanilla extract', '1 tsp. kosher salt', '2 cups (254 g) glutinous sweet rice flour, preferably Koda Farms Blue Star Mochiko', '3 Tbsp. powdered flavoring of choice (such as unsweetened cocoa powder, pandan leaf powder, or malted milk powder) or 1 Tbsp. matcha powder plus 2 Tbsp. glutinous sweet rice flour or 3 Tbsp. glutinous sweet rice flour', '1 tsp. ground spice of choice (such as cinnamon, cardamom, or turmeric)', '1 tsp. baking powder', 'Â¼â€“â…“ cup unsweetened shredded coconut or sesame seeds']","Preheat oven to 350Â°F. Generously butter a 9""-diameter cake pan or an 8x8"" baking pan or 14 cups of two standard 12-cup muffin pans. (If you only have 1 muffin pan, you can bake the extra batter in a small loaf pan or mini muffin pan, or just discard it.) Generously coat pan with sugar, tapping out excess (about Â¼ cup should do it).
Place 1Â½ cups (300 g) sugar and 6 Tbsp. butter in a large bowl. If using coconut milk, heat in a small saucepan over medium, whisking constantly, until no clumps remain, then whisk into sugar mixture. If using half-and-half, whisk directly into sugar mixture. Add eggs, vanilla, and salt and whisk to combine.
Whisk rice flour, powdered flavoring of choice (or 3 Tbsp. more rice flour), spice of choice, and baking powder in a medium bowl to combine, then whisk into egg mixture. Scrape batter into prepared pan and sprinkle with coconut or sesame seeds.
Bake until top begins to crack and cake springs back when gently pressed, 55â€“65 minutes for cake and 45â€“55 minutes for cupcakes. Transfer pan to a wire rack and let cake cool in pan 10 minutes. Run a knife around perimeter of cake, place a plate over pan, and invert cake onto plate. Hold wire rack over cake and invert cake onto rack (simply turn cupcakes out onto rack and turn over). Let cool completely.
Do ahead: Cake can be baked 5 days ahead. Store tightly wrapped at room temperature.",mochi-cake-any-way-you-want-it,"['6 Tbsp. unsalted butter or virgin coconut oil, melted, plus more for pan', '1Â½ cups (300 g) sugar, plus more for pan', '1 (13.5-oz.) can unsweetened coconut milk or 1â…” cups half-and-half', '2 large eggs', '2 tsp. vanilla extract', '1 tsp. kosher salt', '2 cups (254 g) glutinous sweet rice flour, preferably Koda Farms Blue Star Mochiko', '3 Tbsp. powdered flavoring of choice (such as unsweetened cocoa powder, pandan leaf powder, or malted milk powder) or 1 Tbsp. matcha powder plus 2 Tbsp. glutinous sweet rice flour or 3 Tbsp. glutinous sweet rice flour', '1 tsp. ground spice of choice (such as cinnamon, cardamom, or turmeric)', '1 tsp. baking powder', 'Â¼â€“â…“ cup unsweetened shredded coconut or sesame seeds']"
